cluster,gene,log2FC,t,p,FDR
0,LAMTOR4,1.5516675,12.405234,8.73677e-18,7.49556621559728e-15
0,POLR2I,1.3565407,11.814454,8.693423e-18,7.49556621559728e-15
0,GET3,1.5217929,11.519275,3.2709228e-16,1.0656584176978127e-13
0,LSM4,1.3390013,11.447383,4.5430103e-17,2.2681888919157123e-14
0,ATP5MF,1.522697,11.427236,4.9373524e-16,1.3964568779417348e-13
0,NDUFA2,1.5189408,11.389054,5.61934e-16,1.5160590520248615e-13
0,MRPS12,1.3958793,11.38545,1.4051506e-16,5.3978756062788794e-14
0,SNRNP25,1.333684,11.346264,7.095589e-17,3.203969588420629e-14
0,FIS1,1.4119035,11.171324,4.7900486e-16,1.385830920213224e-13
0,POP7,1.249282,11.138788,5.472349e-17,2.6082836379409463e-14
0,DPM3,1.4496875,11.112735,9.52179e-16,2.115163438316372e-13
0,ALKBH7,1.5456047,11.105905,2.3981176e-15,3.956586660866726e-13
0,NDUFB10,1.4620076,11.082338,1.2378953e-15,2.4137084376662055e-13
0,ELOB,1.4005879,11.031355,8.1302807e-16,1.8851996415388045e-13
0,SNAPIN,1.4322556,11.022266,1.19779e-15,2.375192123135644e-13
0,NUDT16L1,1.4685344,10.998249,1.916947e-15,3.2602123668863156e-13
0,POLR2L,1.334584,10.92811,6.032552e-16,1.6006787104260029e-13
0,NDUFB7,1.4569955,10.873177,2.9874697e-15,4.632017660998898e-13
0,COX5B,1.5031699,10.832494,5.341144e-15,7.197401488065106e-13
0,NAXE,1.5254084,10.709793,1.0640237e-14,1.2171486041268054e-12
0,UBL5,1.506893,10.701561,9.5622015e-15,1.1086123260636424e-12
0,GPX4,1.3847661,10.613844,4.7903597e-15,6.700775954635875e-13
0,ZNHIT1,1.478941,10.498683,1.8116556e-14,1.8143342427235371e-12
0,ROMO1,1.3841761,10.492285,8.3071e-15,1.013308776013655e-12
0,ANAPC11,1.4429183,10.44417,1.7227876e-14,1.7457128262639605e-12
0,MRPL34,1.4996973,10.421655,2.9117008e-14,2.6669522659876158e-12
0,NHP2,1.3993099,10.413868,1.3595749e-14,1.445980961230346e-12
0,COX6B1,1.3891926,10.2897415,2.164878e-14,2.0947228913842833e-12
0,LAMTOR2,1.3035266,10.1961355,1.4861034e-14,1.5548507603386882e-12
0,MICOS13,1.3921542,10.143866,4.231933e-14,3.479919937584631e-12
0,HINT1,1.3184179,10.114002,2.5361198e-14,2.3736237218165775e-12
0,UQCRQ,1.3401878,10.106284,3.2160916e-14,2.869088665224643e-12
0,C1orf122,1.2862579,10.09545,2.0127461e-14,1.9848299249380536e-12
0,PSMG3,1.2328204,9.945863,2.3584997e-14,2.2399654906640733e-12
0,MRPL54,1.4835477,9.940785,1.884118e-13,1.0752422849603129e-11
0,SNX17,1.3086873,9.930811,5.4215557e-14,4.190397778519344e-12
0,UROD,1.3043883,9.909619,5.7518524e-14,4.392913332799051e-12
0,PRELID1,1.216617,9.90262,2.4397796e-14,2.2917900343090263e-12
0,NDUFS3,1.4596746,9.895628,1.9595722e-13,1.0988119637127087e-11
0,NDUFB11,1.2320807,9.879559,3.2483317e-14,2.879040076216419e-12
0,ARF5,1.300111,9.859469,6.979982e-14,4.9627285092931065e-12
0,MRPL11,1.4322085,9.858571,1.9198987e-13,1.0922971136855664e-11
0,COPE,1.3482417,9.808095,1.3147766e-13,8.173845390122579e-12
0,COX6A1,1.326792,9.77508,1.2857532e-13,8.032212435624428e-12
0,RHOC,1.3577402,9.7699375,1.6715732e-13,9.76486817835074e-12
0,TMEM9,1.2266297,9.769523,5.266494e-14,4.107546289632044e-12
0,NDUFB2,1.2893816,9.704214,1.300049e-13,8.10185440393602e-12
0,MSRB1,1.4226404,9.694598,3.5800136e-13,1.817404171490656e-11
0,ATRAID,1.3086733,9.603112,2.4091696e-13,1.3109346354521516e-11
0,MPG,1.5065739,9.590877,8.6358926e-13,3.64378050501161e-11
0,BNIP1,1.3848177,9.501381,6.360667e-13,2.842202399359432e-11
0,DTYMK,1.3404577,9.492189,4.956789e-13,2.3451809122116843e-11
0,C19orf53,1.4332699,9.471084,9.552245e-13,3.927407210238498e-11
0,EIF3K,1.2771559,9.46286,3.5418337e-13,1.8051429657981037e-11
0,ECI1,1.3499044,9.447247,6.410731e-13,2.8546607599873258e-11
0,BUD31,1.2888011,9.393173,5.301885e-13,2.4543150884927228e-11
0,COX5A,1.1909441,9.353992,2.7970963e-13,1.4813099992169903e-11
0,OST4,1.3124964,9.314625,8.8726373e-13,3.7192824281839174e-11
0,NAA38,1.4412268,9.284453,2.115195e-12,7.561234601401642e-11
0,PSMB3,1.341676,9.251446,1.4047881e-12,5.348585217064837e-11
0,UQCC3,1.364937,9.230609,1.7596967e-12,6.483789251530782e-11
0,PDZD11,1.3839799,9.19133,2.3016018e-12,8.126011858522936e-11
0,RPL36,1.2924793,9.138714,1.6732147e-12,6.205360145036833e-11
0,SNRPD2,1.3160595,9.136628,1.9606094e-12,7.077442636935858e-11
0,PTRHD1,1.3512559,9.121499,2.570502e-12,8.833054625962816e-11
0,AP2S1,1.1306777,9.097249,5.509874e-13,2.527863440456823e-11
0,BAD,1.3377185,9.09623,2.6472683e-12,9.01261804751547e-11
0,TMEM147,1.1357085,9.068836,6.6625617e-13,2.951480482849849e-11
0,CHCHD5,1.3763015,9.058265,3.8205238e-12,1.186159729612486e-10
0,RPS7P10,1.047958,9.050028,2.819722e-13,1.4841309730820902e-11
0,ATP6V0B,1.321727,9.03658,3.1069578e-12,1.0109593061553545e-10
0,RPLP2,1.2054043,9.020931,1.5280238e-12,5.7413543829940606e-11
0,NDUFA3,1.3119073,9.008073,3.3124126e-12,1.0590667721681367e-10
0,SELENOW,1.4026295,9.002598,5.4508156e-12,1.562283922620248e-10
0,PRADC1,1.3942702,8.935757,6.861371e-12,1.8648148331167565e-10
0,HSD17B10,1.2166309,8.922706,2.6024695e-12,8.919089109821871e-11
0,AL590867.2,1.135202,8.919131,1.3801946e-12,5.2705414052235034e-11
0,RPS15,1.2571901,8.915196,3.5409976e-12,1.1141588928280937e-10
0,COPS9,1.3684368,8.907794,6.7986376e-12,1.8536370931596431e-10
0,PSENEN,1.1919218,8.895838,2.4542486e-12,8.524621884080826e-11
0,RPS14,1.2038442,8.883843,2.8318502e-12,9.536647317884737e-11
0,PPP4C,1.2511983,8.8599205,4.3438903e-12,1.3042153526540758e-10
0,SSR4,1.1821495,8.856518,2.7331165e-12,9.255914864967819e-11
0,PSMB4,1.0606086,8.788067,1.2948004e-12,5.026481660928736e-11
0,TRMT112,1.2246732,8.75719,5.768006e-12,1.6242552938428097e-10
0,PSMB8,1.0803802,8.749902,1.9145855e-12,6.952022682097022e-11
